Topaz Number	Group	Ymaze Condition	Mouse ID	ID	"acqday1, s1"	"acqday1, s2"	"acqday1, s3"	"acqday1, s4"	"acqday2, s1"	"acqday2, s2"	"acqday2, s3"	"acqday2, s4"	"rev, s1"	"rev, s2"	"rev, s3"	"rev, s4"	"rev, s5"
43547	AcuteCNOnCrusI	reversal	2	435472	80	100	100	100	100	100	80	100	0	80	80	80	100
43549	AcuteCNOnCrusI	reversal	6	435496	60	100	100	100	100	100	100	100	0	20	20	80	80
43549	AcuteCNOnCrusI	reversal	7	435497	80	100	100	100	100	100	100	100	0	0	0	60	60
44168	AcuteCNOnCrusI	reversal	8	441688	60	100	80	100	100	100	100	100	40	0	0	0	0
44168	AcuteCNOnCrusI	reversal	9	441689	60	100	100	100	100	100	100	100	0	0	0	0	0
44168	AcuteCNOnCrusI	reversal	10	4416810	80	100	100	100	100	100	100	100	0	0	80	80	100
44171	AcuteCNOnCrusI	reversal	5	441715	60	80	100	100	100	100	100	100	0	0	0	40	40
39580	AcuteCNOnCrusILT	reversal	4	395804	100	0	40	80	80	80	100	100	100	100	100	100	100
39580	AcuteCNOnCrusILT	reversal	5	395805	40	40	100	100	100	100	100	100	0	0	40	100	100
39581	AcuteCNOnCrusILT	reversal	23	3958123	80	100	100	100	100	100	100	100	20	80	100	100	100
39582	AcuteCNOnCrusILT	reversal	9	395829	80	100	100	100	100	100	100	100	0	0	0	80	100
39582	AcuteCNOnCrusILT	reversal	11	3958211	80	100	100	100	100	100	100	100	80	60	100	100	100
60489	AcuteCNOnCrusILT	reversal	15	6048915	60	60	80	80	100	100	100	100	0	0	0	0	0
60494	AcuteCNOnCrusILT	reversal	10	6049410	80	100	100	100	100	100	100	100	0	60	100	100	100
60494	AcuteCNOnCrusILT	reversal	11	6049411	60	0	60	100	100	100	100	100	0	0	20	60	80
60494	AcuteCNOnCrusILT	reversal	12	6049412	80	80	100	100	100	100	100	100	0	0	60	100	80
60494	AcuteCNOnCrusILT	reversal	13	6049413	0	80	80	80	100	100	100	100	0	60	60	80	100
60494	AcuteCNOnCrusILT	reversal	14	6049414	40	100	100	100	100	100	100	100	0	20	80	100	100
60489	AcuteCNOnCrusILT	reversal	16	6048916	0	40	80	100	80	100	100	100	0	80	100	100	100
60489	AcuteCNOnCrusILT	reversal	17	6048917	20	60	20	60	100	100	100	100	0	40	40	40	80
60489	AcuteCNOnCrusILT	reversal	18	6048918	20	60	80	80	100	100	100	100	0	0	0	0	0
67579	AcuteCNOnCrusILT	reversal	5	675795	100	100	100	100	20	40	60	80	0	60	100	100	100
67579	AcuteCNOnCrusILT	reversal	6	675796	60	100	100	100	80	80	80	80	40	100	100	0	40
67579	AcuteCNOnCrusILT	reversal	7	675797	60	60	80	100	60	80	100	100	0	20	100	100	100
67579	AcuteCNOnCrusILT	reversal	8	675798	60	100	100	100	100	100	100	100	20	60	100	100	100
67579	AcuteCNOnCrusILT	reversal	9	675799	0	80	100	100	100	100	100	100	20	20	40	100	100
67581	AcuteCNOnCrusILT	reversal	15	6758115	60	80	100	100	60	100	100	100	0	0	0	40	20
